Date (NST),Parameter ,Value (m)
2021-05-08 10:30,46,85.962
2021-05-08 10:45,46,86.021
2021-05-08 11:00,46,85.96
2021-05-08 11:15,46,85.995
2021-05-08 11:30,46,85.949
2021-05-08 11:45,46,86.001
2021-05-08 12:00,46,85.945
2021-05-08 12:15,46,86.017
2021-05-08 12:30,46,85.967
2021-05-08 12:45,46,86.006
2021-05-08 13:00,46,85.955
2021-05-08 13:15,46,86.006
2021-05-08 13:30,46,85.938
2021-05-08 13:45,46,86.032
2021-05-08 14:00,46,85.975
2021-05-08 14:15,46,86.005
2021-05-08 14:30,46,85.967
2021-05-08 14:45,46,85.982
